Age,Time_of_Day,AQI,AQI_Category,Temperature,Precipitation,Suggested_Activity,Activity_Suggestion
14,9,87,Moderate,51.8,0.61,Play outdoor sports,Enjoy playing soccer or frisbee in the park.
85,10,44,Good,62.6,2.73,Take a walk,Enjoy a peaceful walk in the park.
30,13,499,Hazardous,51.8,1.81,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
63,13,34,Good,62.6,2.3,Have a picnic,The weather is great for an outdoor picnic.
51,1,393,Hazardous,62.6,16.9,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
91,21,91,Moderate,77.0,4.71,Stargazing,"The air is clear, perfect for stargazing."
56,17,255,Very Unhealthy,96.8,13.99,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
70,17,142,Unhealthy for Sensitive Groups,55.4,6.96,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
46,10,480,Hazardous,17.6,8.62,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
47,14,40,Good,59.0,2.44,Have a picnic,The weather is great for an outdoor picnic.
76,13,65,Moderate,75.2,1.94,Have a picnic,The weather is great for an outdoor picnic.
24,20,12,Good,62.6,1.61,Stargazing,"The air is clear, perfect for stargazing."
9,21,79,Moderate,64.4,2.55,Stargazing,"The air is clear, perfect for stargazing."
39,16,390,Hazardous,28.4,14.31,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
7,14,29,Good,64.4,3.19,Have a picnic,The weather is great for an outdoor picnic.
97,18,6,Good,55.4,4.95,Take a walk,Enjoy a peaceful walk in the park.
10,19,62,Moderate,71.6,4.58,Stargazing,"The air is clear, perfect for stargazing."
70,10,72,Moderate,57.2,3.18,Take a walk,Enjoy a peaceful walk in the park.
73,16,243,Very Unhealthy,41.0,3.16,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
81,20,94,Moderate,75.2,2.87,Stargazing,"The air is clear, perfect for stargazing."
90,21,79,Moderate,66.2,0.17,Stargazing,"The air is clear, perfect for stargazing."
46,8,126,Unhealthy for Sensitive Groups,78.8,6.99,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
14,18,22,Good,59.0,0.28,Play outdoor sports,Enjoy playing soccer or frisbee in the park.
66,12,424,Hazardous,71.6,5.1,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
98,14,88,Moderate,53.6,4.55,Have a picnic,The weather is great for an outdoor picnic.
5,13,78,Moderate,78.8,0.65,Have a picnic,The weather is great for an outdoor picnic.
23,17,59,Moderate,78.8,2.16,Go for a jog,The weather is perfect for a run or jog.
78,10,87,Moderate,50.0,4.47,Take a walk,Enjoy a peaceful walk in the park.
91,21,39,Good,59.0,3.79,Stargazing,"The air is clear, perfect for stargazing."
95,8,58,Moderate,66.2,1.39,Take a walk,Enjoy a peaceful walk in the park.
80,15,452,Hazardous,41.0,10.66,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
5,19,45,Good,68.0,3.83,Stargazing,"The air is clear, perfect for stargazing."
22,12,52,Moderate,73.4,7.34,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
97,17,42,Good,78.8,0.25,Take a walk,Enjoy a peaceful walk in the park.
62,3,196,Unhealthy,30.2,9.48,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
63,14,42,Good,59.0,1.38,Have a picnic,The weather is great for an outdoor picnic.
36,11,95,Moderate,82.4,16.72,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
59,20,57,Moderate,73.4,3.15,Stargazing,"The air is clear, perfect for stargazing."
46,16,47,Good,71.6,0.06,Go for a jog,The weather is perfect for a run or jog.
55,19,81,Moderate,71.6,2.9,Stargazing,"The air is clear, perfect for stargazing."
21,23,197,Unhealthy,46.4,12.1,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
65,21,16,Good,53.6,1.31,Stargazing,"The air is clear, perfect for stargazing."
6,13,21,Good,75.2,0.63,Have a picnic,The weather is great for an outdoor picnic.
22,10,44,Good,68.0,4.47,Go for a jog,The weather is perfect for a run or jog.
76,3,334,Hazardous,86.0,11.71,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
62,21,55,Moderate,78.8,0.19,Stargazing,"The air is clear, perfect for stargazing."
74,23,148,Unhealthy for Sensitive Groups,98.6,14.05,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
7,20,6,Good,66.2,0.79,Stargazing,"The air is clear, perfect for stargazing."
58,17,46,Good,84.2,3.77,Go for a jog,The weather is perfect for a run or jog.
90,13,6,Good,80.6,4.38,Have a picnic,The weather is great for an outdoor picnic.
63,18,43,Good,84.2,2.93,Take a walk,Enjoy a peaceful walk in the park.
17,14,81,Moderate,64.4,4.92,Have a picnic,The weather is great for an outdoor picnic.
79,13,65,Moderate,59.0,0.74,Have a picnic,The weather is great for an outdoor picnic.
52,16,31,Good,71.6,1.55,Go for a jog,The weather is perfect for a run or jog.
57,15,358,Hazardous,35.6,12.56,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
50,20,82,Moderate,64.4,3.24,Stargazing,"The air is clear, perfect for stargazing."
46,18,442,Hazardous,57.2,13.48,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
20,8,340,Hazardous,82.4,17.17,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
47,9,9,Good,66.2,0.15,Go for a jog,The weather is perfect for a run or jog.
71,0,334,Hazardous,62.6,8.14,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
43,18,15,Good,60.8,2.53,Go for a jog,The weather is perfect for a run or jog.
47,14,55,Moderate,50.0,1.97,Have a picnic,The weather is great for an outdoor picnic.
6,8,2,Good,77.0,4.09,Play outdoor sports,Enjoy playing soccer or frisbee in the park.
65,20,37,Good,75.2,2.16,Stargazing,"The air is clear, perfect for stargazing."
64,13,2,Good,73.4,4.07,Have a picnic,The weather is great for an outdoor picnic.
80,8,92,Moderate,60.8,1.87,Take a walk,Enjoy a peaceful walk in the park.
45,21,81,Moderate,73.4,0.31,Stargazing,"The air is clear, perfect for stargazing."
39,18,441,Hazardous,14.0,17.6,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
18,2,439,Hazardous,59.0,0.26,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
28,1,192,Unhealthy,33.8,4.17,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
58,0,311,Hazardous,62.6,10.14,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
5,16,248,Very Unhealthy,15.8,8.53,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
62,21,9,Good,75.2,2.6,Stargazing,"The air is clear, perfect for stargazing."
49,10,10,Good,82.4,0.2,Go for a jog,The weather is perfect for a run or jog.
23,14,58,Moderate,71.6,1.62,Have a picnic,The weather is great for an outdoor picnic.
70,10,223,Very Unhealthy,96.8,5.34,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
49,13,378,Hazardous,60.8,18.28,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
51,10,206,Very Unhealthy,82.4,8.13,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
42,2,386,Hazardous,68.0,17.95,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
59,13,26,Good,55.4,0.46,Have a picnic,The weather is great for an outdoor picnic.
45,14,86,Moderate,71.6,1.33,Have a picnic,The weather is great for an outdoor picnic.
97,12,61,Moderate,73.4,2.19,Have a picnic,The weather is great for an outdoor picnic.
94,22,261,Very Unhealthy,21.2,16.84,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
98,15,154,Unhealthy,98.6,11.27,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
6,8,82,Moderate,80.6,4.91,Play outdoor sports,Enjoy playing soccer or frisbee in the park.
89,21,75,Moderate,59.0,2.94,Stargazing,"The air is clear, perfect for stargazing."
15,9,255,Very Unhealthy,44.6,6.68,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
23,4,101,Unhealthy for Sensitive Groups,102.2,18.23,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
97,18,65,Moderate,57.2,1.16,Take a walk,Enjoy a peaceful walk in the park.
68,19,74,Moderate,84.2,4.65,Stargazing,"The air is clear, perfect for stargazing."
64,18,400,Hazardous,53.6,3.44,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
70,14,64,Moderate,84.2,0.18,Have a picnic,The weather is great for an outdoor picnic.
26,14,83,Moderate,78.8,0.18,Have a picnic,The weather is great for an outdoor picnic.
87,12,27,Good,15.8,8.0,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
39,21,2,Good,78.8,3.38,Stargazing,"The air is clear, perfect for stargazing."
55,10,271,Very Unhealthy,69.8,3.05,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
61,20,55,Moderate,68.0,2.7,Stargazing,"The air is clear, perfect for stargazing."
69,12,73,Moderate,55.4,2.08,Have a picnic,The weather is great for an outdoor picnic.
82,17,71,Moderate,77.0,1.9,Take a walk,Enjoy a peaceful walk in the park.
90,1,6,Good,66.2,10.76,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
87,9,11,Good,84.2,0.2,Take a walk,Enjoy a peaceful walk in the park.
25,9,365,Hazardous,98.6,16.11,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
25,18,80,Moderate,80.6,0.97,Go for a jog,The weather is perfect for a run or jog.
85,19,33,Good,50.0,3.89,Stargazing,"The air is clear, perfect for stargazing."
49,17,82,Moderate,82.4,3.05,Go for a jog,The weather is perfect for a run or jog.
21,14,59,Moderate,73.4,4.4,Have a picnic,The weather is great for an outdoor picnic.
13,21,77,Moderate,84.2,2.66,Stargazing,"The air is clear, perfect for stargazing."
93,5,308,Hazardous,78.8,6.25,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
60,17,82,Moderate,75.2,4.53,Take a walk,Enjoy a peaceful walk in the park.
23,18,78,Moderate,68.0,0.13,Go for a jog,The weather is perfect for a run or jog.
70,8,63,Moderate,75.2,4.46,Take a walk,Enjoy a peaceful walk in the park.
32,13,0,Good,82.4,2.28,Have a picnic,The weather is great for an outdoor picnic.
6,19,15,Good,68.0,4.2,Stargazing,"The air is clear, perfect for stargazing."
51,0,254,Very Unhealthy,50.0,10.47,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
98,22,442,Hazardous,64.4,0.03,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
61,8,74,Moderate,57.2,4.64,Take a walk,Enjoy a peaceful walk in the park.
46,3,104,Unhealthy for Sensitive Groups,57.2,12.27,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
21,21,33,Good,62.6,1.21,Stargazing,"The air is clear, perfect for stargazing."
5,18,54,Moderate,26.6,3.44,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
23,20,15,Good,71.6,0.88,Stargazing,"The air is clear, perfect for stargazing."
33,17,39,Good,17.6,13.78,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
5,13,273,Very Unhealthy,17.6,16.43,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
88,20,84,Moderate,66.2,0.92,Stargazing,"The air is clear, perfect for stargazing."
67,10,220,Very Unhealthy,26.6,4.93,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
76,1,129,Unhealthy for Sensitive Groups,53.6,16.16,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
38,13,30,Good,55.4,2.92,Have a picnic,The weather is great for an outdoor picnic.
53,18,86,Moderate,77.0,3.84,Go for a jog,The weather is perfect for a run or jog.
71,18,80,Moderate,80.6,4.23,Take a walk,Enjoy a peaceful walk in the park.
58,17,80,Moderate,53.6,3.88,Go for a jog,The weather is perfect for a run or jog.
83,16,19,Good,55.4,2.99,Take a walk,Enjoy a peaceful walk in the park.
40,10,74,Moderate,82.4,2.36,Go for a jog,The weather is perfect for a run or jog.
35,13,86,Moderate,84.2,4.87,Have a picnic,The weather is great for an outdoor picnic.
21,7,380,Hazardous,64.4,6.14,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
38,14,83,Moderate,73.4,0.09,Have a picnic,The weather is great for an outdoor picnic.
95,10,362,Hazardous,96.8,1.74,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
70,9,57,Moderate,68.0,0.48,Take a walk,Enjoy a peaceful walk in the park.
18,16,87,Moderate,50.0,3.46,Go for a jog,The weather is perfect for a run or jog.
76,13,45,Good,80.6,2.33,Have a picnic,The weather is great for an outdoor picnic.
80,10,91,Moderate,53.6,0.94,Take a walk,Enjoy a peaceful walk in the park.
89,20,33,Good,51.8,4.29,Stargazing,"The air is clear, perfect for stargazing."
61,10,59,Moderate,60.8,4.97,Take a walk,Enjoy a peaceful walk in the park.
23,5,403,Hazardous,78.8,12.5,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
30,18,17,Good,62.6,3.87,Go for a jog,The weather is perfect for a run or jog.
61,13,65,Moderate,73.4,3.12,Have a picnic,The weather is great for an outdoor picnic.
79,8,72,Moderate,68.0,4.74,Take a walk,Enjoy a peaceful walk in the park.
90,14,381,Hazardous,26.6,19.81,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
55,3,366,Hazardous,66.2,6.94,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
79,4,272,Very Unhealthy,93.2,19.9,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
8,14,96,Moderate,78.8,4.35,Have a picnic,The weather is great for an outdoor picnic.
91,14,6,Good,84.2,4.27,Have a picnic,The weather is great for an outdoor picnic.
42,0,26,Good,93.2,12.21,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
44,2,264,Very Unhealthy,23.0,9.23,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
17,14,480,Hazardous,19.4,15.99,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
24,17,30,Good,57.2,4.42,Go for a jog,The weather is perfect for a run or jog.
9,19,49,Good,51.8,4.97,Stargazing,"The air is clear, perfect for stargazing."
33,20,52,Moderate,62.6,0.91,Stargazing,"The air is clear, perfect for stargazing."
71,2,188,Unhealthy,100.4,16.09,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
64,17,13,Good,64.4,1.53,Take a walk,Enjoy a peaceful walk in the park.
16,14,21,Good,77.0,3.81,Have a picnic,The weather is great for an outdoor picnic.
58,21,365,Hazardous,82.4,10.05,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
29,19,55,Moderate,50.0,0.75,Stargazing,"The air is clear, perfect for stargazing."
96,20,43,Good,53.6,1.42,Stargazing,"The air is clear, perfect for stargazing."
74,19,7,Good,71.6,2.81,Stargazing,"The air is clear, perfect for stargazing."
77,16,95,Moderate,68.0,2.27,Take a walk,Enjoy a peaceful walk in the park.
32,17,27,Good,44.6,6.47,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
85,17,42,Good,62.6,3.94,Take a walk,Enjoy a peaceful walk in the park.
17,15,132,Unhealthy for Sensitive Groups,77.0,2.56,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
26,21,29,Good,80.6,1.02,Stargazing,"The air is clear, perfect for stargazing."
73,14,57,Moderate,84.2,0.26,Have a picnic,The weather is great for an outdoor picnic.
12,3,59,Moderate,64.4,8.24,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
25,17,50,Good,66.2,1.49,Go for a jog,The weather is perfect for a run or jog.
35,18,45,Good,80.6,4.68,Go for a jog,The weather is perfect for a run or jog.
49,21,62,Moderate,51.8,0.74,Stargazing,"The air is clear, perfect for stargazing."
45,21,363,Hazardous,91.4,5.62,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
99,17,42,Good,53.6,3.1,Take a walk,Enjoy a peaceful walk in the park.
28,20,33,Good,55.4,1.84,Stargazing,"The air is clear, perfect for stargazing."
74,19,14,Good,59.0,2.76,Stargazing,"The air is clear, perfect for stargazing."
83,10,23,Good,80.6,2.08,Take a walk,Enjoy a peaceful walk in the park.
39,9,8,Good,84.2,2.57,Go for a jog,The weather is perfect for a run or jog.
16,16,96,Moderate,51.8,0.9,Play outdoor sports,Enjoy playing soccer or frisbee in the park.
41,20,417,Hazardous,28.4,7.87,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
98,10,75,Moderate,77.0,3.55,Take a walk,Enjoy a peaceful walk in the park.
73,21,90,Moderate,75.2,2.29,Stargazing,"The air is clear, perfect for stargazing."
17,23,74,Moderate,53.6,1.7,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
86,13,38,Good,53.6,4.34,Have a picnic,The weather is great for an outdoor picnic.
65,22,413,Hazardous,42.8,14.14,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
80,13,97,Moderate,69.8,1.71,Have a picnic,The weather is great for an outdoor picnic.
30,3,390,Hazardous,75.2,0.46,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
54,14,62,Moderate,84.2,0.38,Have a picnic,The weather is great for an outdoor picnic.
78,21,64,Moderate,73.4,0.87,Stargazing,"The air is clear, perfect for stargazing."
99,16,131,Unhealthy for Sensitive Groups,86.0,0.99,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
39,17,413,Hazardous,64.4,13.41,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
28,21,353,Hazardous,98.6,0.8,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
62,9,32,Good,75.2,0.11,Take a walk,Enjoy a peaceful walk in the park.
77,8,442,Hazardous,91.4,16.01,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
39,10,66,Moderate,82.4,17.15,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
50,10,493,Hazardous,48.2,15.31,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
41,8,46,Good,48.2,2.48,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
22,8,31,Good,78.8,4.71,Go for a jog,The weather is perfect for a run or jog.
89,9,50,Good,21.2,8.91,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
74,9,17,Good,66.2,0.58,Take a walk,Enjoy a peaceful walk in the park.
8,16,227,Very Unhealthy,35.6,1.22,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
68,19,70,Moderate,59.0,3.4,Stargazing,"The air is clear, perfect for stargazing."
25,15,329,Hazardous,19.4,15.57,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
66,19,59,Moderate,82.4,3.31,Stargazing,"The air is clear, perfect for stargazing."
46,17,154,Unhealthy,59.0,18.79,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
60,2,265,Very Unhealthy,98.6,10.01,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
72,9,93,Moderate,62.6,2.03,Take a walk,Enjoy a peaceful walk in the park.
57,8,24,Good,66.2,3.33,Go for a jog,The weather is perfect for a run or jog.
62,9,76,Moderate,57.2,1.77,Take a walk,Enjoy a peaceful walk in the park.
43,19,60,Moderate,60.8,4.55,Stargazing,"The air is clear, perfect for stargazing."
37,17,62,Moderate,55.4,2.45,Go for a jog,The weather is perfect for a run or jog.
11,21,457,Hazardous,73.4,13.74,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
87,21,56,Moderate,71.6,2.99,Stargazing,"The air is clear, perfect for stargazing."
89,13,14,Good,55.4,1.68,Have a picnic,The weather is great for an outdoor picnic.
52,14,94,Moderate,57.2,3.49,Have a picnic,The weather is great for an outdoor picnic.
58,8,93,Moderate,80.6,0.23,Go for a jog,The weather is perfect for a run or jog.
48,19,63,Moderate,78.8,1.31,Stargazing,"The air is clear, perfect for stargazing."
14,7,303,Hazardous,41.0,3.03,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
81,0,67,Moderate,46.4,18.08,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
6,13,31,Good,64.4,1.85,Have a picnic,The weather is great for an outdoor picnic.
86,19,91,Moderate,60.8,3.68,Stargazing,"The air is clear, perfect for stargazing."
31,14,5,Good,66.2,0.48,Have a picnic,The weather is great for an outdoor picnic.
15,20,34,Good,64.4,4.31,Stargazing,"The air is clear, perfect for stargazing."
68,16,41,Good,82.4,4.43,Take a walk,Enjoy a peaceful walk in the park.
88,16,67,Moderate,51.8,2.71,Take a walk,Enjoy a peaceful walk in the park.
9,8,36,Good,62.6,2.92,Play outdoor sports,Enjoy playing soccer or frisbee in the park.
92,17,93,Moderate,55.4,1.29,Take a walk,Enjoy a peaceful walk in the park.
99,8,72,Moderate,84.2,1.45,Take a walk,Enjoy a peaceful walk in the park.
14,23,412,Hazardous,60.8,5.81,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
56,12,26,Good,68.0,2.58,Have a picnic,The weather is great for an outdoor picnic.
21,20,350,Hazardous,80.6,17.97,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
40,2,395,Hazardous,68.0,17.51,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
44,12,40,Good,84.2,0.47,Have a picnic,The weather is great for an outdoor picnic.
33,15,419,Hazardous,69.8,4.59,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
14,13,96,Moderate,66.2,2.32,Have a picnic,The weather is great for an outdoor picnic.
18,7,383,Hazardous,77.0,14.4,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
53,16,26,Good,57.2,4.61,Go for a jog,The weather is perfect for a run or jog.
54,20,3,Good,71.6,2.37,Stargazing,"The air is clear, perfect for stargazing."
49,9,69,Moderate,71.6,3.61,Go for a jog,The weather is perfect for a run or jog.
32,4,443,Hazardous,64.4,19.93,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
51,12,17,Good,80.6,6.94,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
78,10,99,Moderate,57.2,4.0,Take a walk,Enjoy a peaceful walk in the park.
73,19,0,Good,78.8,4.75,Stargazing,"The air is clear, perfect for stargazing."
28,12,4,Good,69.8,0.38,Have a picnic,The weather is great for an outdoor picnic.
40,10,139,Unhealthy for Sensitive Groups,35.6,2.37,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
15,19,84,Moderate,82.4,0.24,Stargazing,"The air is clear, perfect for stargazing."
55,10,32,Good,69.8,1.52,Go for a jog,The weather is perfect for a run or jog.
16,9,93,Moderate,51.8,1.48,Play outdoor sports,Enjoy playing soccer or frisbee in the park.
26,20,10,Good,68.0,2.69,Stargazing,"The air is clear, perfect for stargazing."
95,0,380,Hazardous,95.0,5.0,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
85,3,299,Very Unhealthy,82.4,9.94,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
37,6,90,Moderate,86.0,12.75,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
15,21,11,Good,66.2,0.75,Stargazing,"The air is clear, perfect for stargazing."
59,13,82,Moderate,84.2,4.24,Have a picnic,The weather is great for an outdoor picnic.
37,23,395,Hazardous,57.2,4.03,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
90,10,75,Moderate,51.8,4.97,Take a walk,Enjoy a peaceful walk in the park.
58,9,133,Unhealthy for Sensitive Groups,28.4,19.1,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
64,12,89,Moderate,73.4,1.51,Have a picnic,The weather is great for an outdoor picnic.
42,9,475,Hazardous,44.6,4.98,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
28,10,57,Moderate,71.6,4.16,Go for a jog,The weather is perfect for a run or jog.
49,4,63,Moderate,96.8,16.75,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
97,16,359,Hazardous,66.2,17.67,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
17,22,292,Very Unhealthy,26.6,11.12,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
83,19,223,Very Unhealthy,33.8,10.48,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
30,9,45,Good,80.6,4.5,Go for a jog,The weather is perfect for a run or jog.
43,16,21,Good,80.6,2.66,Go for a jog,The weather is perfect for a run or jog.
30,21,67,Moderate,60.8,2.26,Stargazing,"The air is clear, perfect for stargazing."
77,16,69,Moderate,68.0,0.47,Take a walk,Enjoy a peaceful walk in the park.
73,8,23,Good,51.8,2.79,Take a walk,Enjoy a peaceful walk in the park.
75,3,23,Good,98.6,18.69,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
35,17,149,Unhealthy for Sensitive Groups,28.4,1.71,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
